id,Controle_S_41,Controle_S_40,Controle_S_39,AB_S_19,AB_S_20,AB_S_27,AB_S_28,AB_S_34,AB_S_38,AB_S_9,Alagille_S_13,Alagille_S_16,Alagille_S_2,Alagille_S_5,Alagille_S_6,Alagille_S_7,Alagille_S_8,BSEP_S_15,BSEP_S_17,BSEP_S_18,BSEP_S_24,BSEP_S_36,FIC1_S_23,MDR3_S_1,MDR3_S_14,MDR3_S_31,MDR3_S_33,TJP2_S_25,TJP2_S_26
ENSG00000005156,244.13,160.69,90.14,150.72,198.43,119.86,129.88,116.55,201.76,235.91,177.19,136.22,219.49,232.42,218,173.72,127.21,289.92,146.77,229.53,170.44,190.48,167.89,310.72,231.26,148.52,121.04,217.95,236.38
ENSG00000005175,227,175,165,196,287,154,180,127.73,224,332.78,184,195,361,289,311,359,208,242,264,338,237,266,250,430,347,304,157,265.9,245
ENSG00000005187,539.55,956.59,886.26,570.73,352.44,481.43,1066.98,475.46,819.95,1294.23,318.55,592,691.03,671.93,134.64,215.02,260.1,275.6,161.11,182.73,452.12,946.08,382.32,232.63,698.81,337.37,326.29,283.58,213.97
ENSG00000005189,28,24,5,16,19,19,52,35,38,114,11,11,13,11,21,26,13,18,13,12,20,20,17,14,39,23,12,17,21
ENSG00000005194,393,248,165,258,573,243,386,247,368,594,187,285,406,330,370,340,324,414,434,351,419,341,317,473,475,378,272,289,408
ENSG00000005206,377.18,446.35,212.6,292.37,396.18,227,393,378.85,411.7,686.11,367.74,333.83,492,442,334.88,401.4,438.58,388,382.97,360.21,460,391,389.57,511.46,443.11,321.01,307.87,338.79,459.9
ENSG00000005238,124,133,100,138,181,62,66,141,125,255,105,102,84,146,216,234,101,169,164,160,192,112,126,458,167,144,88,99,288
ENSG00000005243,127,226,251,153,133,126,126,235,224,196,123,115,199,124,125,175,113,99,128,71,180,166,94,189,160,117,110,123,95
ENSG00000005249,65,79,91,161,73,42,31,70,82,86,38,53,48,66,108,58,56,35,53,42,73,47,66,117,95,40,39,65,83
ENSG00000005302,207,175.05,157,190.88,244.8,116,141.02,215.91,207.68,347.88,170,186.88,237.99,334.89,360.01,350.95,189.87,313.76,241.88,324.04,224.64,295.01,266.73,751.95,304.7,242,165,221.88,292.89
ENSG00000005339,355,670.96,658.36,595.1,925.28,432,433.85,633.43,843.03,995.32,632.3,406.29,720.08,656.73,720.08,852.29,570.21,624,564,735.04,728.82,660,607,1176,865.02,598.78,382,586.18,777.22
ENSG00000005379,40,109,71,44,37,38,66,88.32,86.01,181,71,35,40,48,129,108,66,56,40,40,99.99,100,64,114,119.78,36,51,37,59
ENSG00000005381,44,73,2,3,3,15,2,7,6,14,6,26,1,5,62,84,9,20,13,0,11,1,3,7,21,3,1,1,17
ENSG00000005421,2662,3557,5803,3131,1592,3167,4607,3060,4437,3357,3140,2788,3706,5155,871,5471,2072,1909,1495,1587,5031,6667,4280,2053,4938,2477,3789,2957,1277
ENSG00000005436,95.15,267.29,137.27,234.34,241.87,173,243.25,197.59,239,243.78,144.56,151.86,284,110.72,161.58,183.61,150.46,109.39,146.38,129.71,308.15,148.4,192.56,242.43,326.34,188.47,142,123.62,183.48
ENSG00000005448,24,28,24,25,50,22,23,57.01,46,89,23,20,15,17,47.04,46.01,24,32,36,39,47,22.01,36,61.02,33,14,20,11,64.01
ENSG00000005469,202,412,303,132,285,128,159,140,279,211,75,64,116,143,64,196,86,148,132,91,282,129,101,164,248,87,110,124,153
